Complaint ID,split
CID29678843,train
CID29739607,test
CID29770755,train
CID29811986,train
CID29837553,train
CID29899349,train
CID29937669,train
CID30035262,test
CID30047132,train
CID30092794,test
CID30102655,test
CID30133398,test
CID30134626,train
CID30191305,train
CID30203304,test
CID30252718,train
CID30276748,train
CID30302749,train
CID30310817,train
CID30315262,train
CID30353511,train
CID30378384,train
CID30384195,train
CID30390587,train
CID30415375,train
CID30441333,train
CID30443289,train
CID30453631,train
CID30482731,train
CID30501914,train
CID30534847,train
CID30625747,train
CID30627926,train
CID30727831,train
CID30734656,train
CID30781596,train
CID30789447,train
CID30895684,train
CID30990355,train
CID31044729,train
CID31076172,train
CID31128882,train
CID31198821,train
CID31203156,train
CID31221605,train
CID31243823,train
CID31279981,train
CID31286825,train
CID31290187,train
CID31292738,train
CID31298529,train
CID31400836,train
CID31441666,train
CID31558896,train
CID31609886,train
CID31628891,train
CID31641632,test
CID31706478,train
CID31727192,train
CID31750761,train
CID31772277,train
CID31949685,test
CID31982151,train
CID31985585,test
CID32085455,train
CID32118889,train
CID32146427,test
CID32163772,test
CID32181462,train
CID32206375,train
CID32233887,train
CID32254371,train
CID32257612,train
CID32261996,train
CID32353304,train
CID32361337,test
CID32376419,test
CID32389424,test
CID32436887,train
CID32453353,train
CID32458208,train
CID32490404,train
CID32491163,train
CID32493296,train
CID32500228,train
CID32508611,train
CID32548244,train
CID32570168,train
CID32602131,train
CID32711853,train
CID32731521,train
CID32799331,train
CID32809883,test
CID32923214,test
CID32954815,train
CID33015778,train
CID33031777,train
CID33070224,train
CID33084551,train
CID33121272,train
CID33134528,train
CID33200331,train
CID33215976,test
CID33279893,train
CID33362585,train
CID33405929,train
CID33410777,test
CID33447423,train
CID33456324,train
CID33457409,train
CID33486773,train
CID33497939,train
CID33507117,test
CID33542496,train
CID33623792,train
CID33631453,train
CID33711674,train
CID33732354,train
CID33836777,train
CID33883731,test
CID33900167,train
CID33955233,train
CID34031588,test
CID34036619,train
CID34077574,train
CID34078452,train
CID34094904,train
CID34103377,train
CID34127748,train
CID34134441,train
CID34145186,test
CID34235584,train
CID34268249,train
CID34289308,train
CID34301939,train
CID34310178,train
CID34371829,train
CID34373321,train
CID34396775,train
CID34413576,train
CID34455967,train
CID34456425,train
CID34482467,train
CID34513128,train
CID34606123,test
CID34610827,train
CID34757622,train
CID34801543,train
CID34805593,train
CID34820726,train
CID34822996,train
CID34847492,test
CID34853785,train
CID34869669,test
CID34962828,test
CID34986528,train
CID35001765,test
CID35028756,train
CID35127706,test
CID35290579,train
CID35305839,train
CID35331619,train
CID35338658,test
CID35384842,test
CID35408374,train
CID35415193,train
CID35419183,train
CID35447952,train
CID35503147,train
CID35557214,train
CID35630733,train
CID35654684,train
CID35659313,train
CID35750831,train
CID35767558,train
CID35818304,train
CID35887402,train
CID35917253,train
CID35935733,train
CID35991587,train
CID35995163,train
CID36027668,train
CID36185167,train
CID36199115,train
CID36200475,train
CID36202602,train
CID36213299,train
CID36219245,train
CID36229345,train
CID36299892,train
CID36379493,test
CID36429611,test
CID36430353,test
CID36455285,test
CID36515712,test
CID36523381,test
CID36539482,train
CID36620119,train
CID36624355,train
CID36625493,test
CID36654387,train
CID36706586,train
CID36712275,train
CID36712892,train
CID36714764,train
CID36777271,train
CID36803378,train
CID36811835,test
CID36830939,test
CID36840852,train
CID36867483,train
CID36900472,test
CID37090946,train
CID37154224,test
CID37207557,test
CID37217867,train
CID37235294,train
CID37236761,train
CID37250416,test
CID37280196,train
CID37288879,train
CID37393256,train
CID37407944,train
CID37408986,train
CID37432656,train
CID37495578,train
CID37575813,train
CID37578272,train
CID37589496,train
CID37609505,train
CID37713774,train
CID37737588,train
CID37830391,test
CID37844478,train
CID37859228,test
CID37930714,test
CID37943266,train
CID38058698,train
CID38062128,test
CID38089409,test
CID38133768,train
CID38192484,test
CID38211836,test
CID38223774,train
CID38231591,train
CID38250744,train
CID38260784,train
CID38276417,train
CID38292814,train
CID38298815,train
CID38305541,test
CID38345934,test
CID38419748,train
CID38421642,train
CID38432597,train
CID38437619,train
CID38467923,test
CID38471556,train
CID38483374,test
CID38545867,train
CID38558332,train
CID38584259,train
CID38607594,train
CID38632561,train
CID38659823,train
CID38664312,test
CID38726333,train
CID38766983,train
CID38780626,train
CID38789566,train
CID38842585,test
CID38870754,train
CID38888247,train
CID38913368,test
CID38925843,train
CID38935854,train
CID38948474,test
CID38966732,train
CID38970531,train
CID38974869,test
CID38976822,train
CID39000983,train
CID39028313,test
CID39093678,test
CID39099876,train
CID39126409,train
CID39139749,train
CID39143683,train
CID39194638,train
CID39217953,test
CID39267693,train
CID39270977,train
CID39308349,test
CID39334484,test
CID39412827,test
CID39475743,train
CID39561267,train
CID39572143,train
CID39596835,test
CID39618238,train
CID39731902,test
CID39738442,train
CID39756791,train
CID39809156,train
CID39829956,train
CID39948349,train
CID39954497,train
CID39956693,train
CID39963817,train
CID39976585,train
CID39992619,train
CID39998451,test
CID40001484,train
CID40021595,test
CID40060557,test
CID40100684,train
CID40114855,test
CID40154694,train
CID40163706,train
CID40252831,train
CID40297845,train
CID40308896,test
CID40356263,train
CID40384321,train
CID40393963,train
CID40394743,train
CID40396257,train
CID40417144,test
CID40427729,train
CID40487624,test
CID40572182,test
CID40579219,train
CID40634765,train
CID40733311,train
CID40771158,train
CID40808672,train
CID40892626,train
CID40923372,train
CID40973427,train
CID41028146,train
CID41032753,train
CID41075417,test
CID41135281,train
CID41138813,test
CID41139291,train
CID41193994,train
CID41237444,train
CID41277783,train
CID41385324,train
CID41413371,train
CID41416672,train
CID41472457,train
CID41531115,train
CID41593229,train
CID41653145,train
CID41696929,train
CID41740935,train
CID41757921,train
CID41811487,train
CID41887914,test
CID41928137,train
CID41957971,train
CID41981415,train
CID42028493,train
CID42066324,train
CID42088276,train
CID42105767,train
CID42170264,train
CID42177657,train
CID42185172,train
CID42250525,test
CID42254444,test
CID42267793,train
CID42278531,train
CID42323796,train
CID42360302,train
CID42452585,train
CID42473735,train
CID42500612,train
CID42561153,train
CID42673398,test
CID42676381,train
CID42693725,test
CID42754618,train
CID42794237,train
CID42799968,train
CID42897968,test
CID42983998,train
CID43022689,train
CID43027196,train
CID43103692,train
CID43105369,train
CID43221796,train
CID43254135,train
CID43263294,test
CID43265335,train
CID43278468,train
CID43292854,train
CID43293794,train
CID43298604,train
CID43442981,test
CID43451805,train
CID43453608,train
CID43476833,train
CID43516535,train
CID43525156,train
CID43603655,test
CID43769139,train
CID43776893,train
CID43779759,train
CID43779978,train
CID43785608,train
CID43796117,train
CID43820356,test
CID43852123,test
CID43857425,train
CID43965166,train
CID44017849,train
CID44082817,train
CID44085288,train
CID44092321,train
CID44112218,train
CID44223135,test
CID44251905,train
CID44252247,train
CID44254173,train
CID44264412,train
CID44377802,test
CID44421902,train
CID44443239,train
CID44455602,test
CID44455656,test
CID44475449,train
CID44497805,train
CID44516648,train
CID44530275,train
CID44558943,train
CID44565535,train
CID44599688,train
CID44656556,train
CID44671672,train
CID44722385,train
CID44730721,train
CID44739199,train
CID44762449,train
CID44776787,train
CID44793299,test
CID44804658,train
CID44814156,train
CID44878318,test
CID44905526,train
CID44933739,test
CID44938826,test
CID44976591,train
CID45003851,train
CID45037383,test
CID45045547,train
CID45056325,test
CID45080479,train
CID45169986,train
CID45256675,train
CID45258988,train
CID45343781,test
CID45343929,train
CID45405818,train
CID45445733,test
CID45503839,train
CID45522811,train
CID45527282,train
CID45555518,train
CID45636625,train
CID45651982,train
CID45655521,train
CID45666399,test
CID45682797,train
CID45710183,train
CID45757507,train
CID45767533,train
CID45795423,test
CID45831671,test
CID45832749,train
CID45932875,train
CID45941802,train
CID45984123,train
CID45992358,train
CID46001132,train
CID46078899,train
CID46151798,train
CID46152686,train
CID46162607,train
CID46176271,test
CID46184327,train
CID46192541,train
CID46253962,train
CID46275465,train
CID46304147,train
CID46318175,train
CID46444113,test
CID46483187,test
CID46514241,train
CID46541183,test
CID46545699,train
CID46548793,train
CID46664576,train
CID46768543,train
CID46799551,test
CID46923264,train
CID46984726,train
CID47049127,train
CID47052807,train
CID47127126,test
CID47160585,train
CID47183594,train
CID47195258,test
CID47209527,train
CID47247409,train
CID47274132,train
CID47291172,train
CID47304885,train
CID47408968,train
CID47429186,train
CID47455634,train
CID47463846,train
CID47555289,train
CID47564206,train
CID47610128,train
CID47622854,test
CID47658925,train
CID47663419,train
CID47670187,train
CID47736248,test
CID47853753,train
CID47887691,train
CID47903134,test
CID47924824,train
CID47943291,train
CID47970864,train
CID47971929,train
CID48072854,train
CID48137746,train
CID48159653,test
CID48176469,train
CID48177335,train
CID48211485,test
CID48211582,test
CID48233505,test
CID48317347,train
CID48367329,train
CID48381152,train
CID48421805,train
CID48494205,train
CID48558855,train
CID48563788,train
CID48589991,train
CID48645638,train
CID48671973,train
CID48737259,train
CID48756574,train
CID48773386,test
CID48776526,train
CID48777575,test
CID48781418,train
CID48788131,train
CID48795968,test
CID48812257,train
CID48813891,train
CID48826136,train
CID48873441,train
CID48884867,train
CID48904288,train
CID48933568,train
CID48950817,train
CID48979674,train
CID49051927,train
CID49060906,train
CID49069842,train
CID49144461,train
CID49177538,test
CID49182167,train
CID49207917,train
CID49234686,test
CID49252758,train
CID49301728,train
CID49333765,train
CID49389951,train
CID49459654,train
CID49486462,train
CID49500966,train
CID49514801,test
CID49556443,test
CID49594862,train
CID49677634,train
CID49685803,train
CID49697564,test
CID49755528,test
CID49768994,test
CID49788411,train
CID49800257,test
CID49813771,train
CID49830348,train
CID49843965,train
CID49861965,test
CID49863963,train
CID49866539,test
CID49903735,train
CID49907195,test
CID49918601,train
CID49919935,train
CID49944045,train
CID49950947,train
CID49953147,train
CID49962069,test
CID49967656,train
CID49994656,train
CID49995734,test
CID49998766,train
CID49998781,train
CID50017997,train
CID50019889,train
CID50022612,train
CID50023447,test
CID50028591,train
CID50029381,test
CID50038145,train
CID50062443,train
CID50072552,train
CID50081053,train
CID50082455,train
CID50082740,test
CID50086778,train
CID50091592,test
CID50092936,train
CID50094905,test
CID50099195,train
CID50119794,train
CID50122769,train
CID50124630,train
CID50143125,train
CID50150294,test
CID50169558,train
CID50172231,train
CID50206240,train
CID50206865,train
CID50209233,train
CID50214296,train
CID50219195,train
CID50226382,train
CID50274688,train
CID50283597,train
CID50285859,test
CID50289154,train
CID50306969,train
CID50318543,test
CID50320582,train
CID50323164,train
CID50336746,train
CID50348064,train
CID50352440,train
CID50359693,train
CID50360522,train
CID50363189,train
CID50369490,train
CID50370635,train
CID50371497,test
CID50373589,test
CID50387934,train
CID50390079,train
CID50392124,train
CID50398194,test
CID50403775,train
CID50424891,train
CID50426328,test
CID50429324,train
CID50436869,test
CID50438326,train
CID50440460,train
CID50463796,train
CID50473557,test
CID50484977,train
CID50487875,train
CID50493576,test
CID50509594,test
CID50510882,train
CID50516150,test
CID50540369,train
CID50542183,test
CID50566783,train
CID50602834,test
CID50606449,train
CID50607786,train
CID50607881,test
CID50614291,train
CID50617892,train
CID50635392,train
CID50664141,train
CID50666434,train
CID50668659,train
CID50679928,train
CID50683197,train
CID50686075,train
CID50698228,train
CID50703367,test
CID50716764,train
CID50716855,train
CID50720268,train
CID50750336,test
CID50757554,test
CID50758989,train
CID50764678,test
CID50770780,train
CID50774583,train
CID50787263,train
CID50796869,train
CID50797456,train
CID50823952,train
CID50826171,train
CID50828239,train
CID50851884,train
CID50871575,train
CID50874171,train
CID50879986,test
CID50880955,train
CID50883058,train
CID50886839,train
CID50888136,train
CID50890377,train
CID50909359,test
CID50917826,test
CID50920483,train
CID50921980,train
CID50931670,train
CID50952063,train
CID50952429,train
CID50953164,train
CID50956155,test
CID50957425,test
CID50958642,train
CID50973199,test
CID50982662,train
CID51011985,test
CID51012841,train
CID51020755,train
CID51024657,train
CID51027537,train
CID51034792,train
CID51036654,train
CID51037026,train
CID51037067,train
CID51067891,train
CID51076129,test
CID51087249,train
CID51104190,test
CID51121784,test
CID51123361,test
CID51127984,train
CID51156581,train
CID51163137,train
CID51170737,train
CID51171489,train
CID51175377,train
CID51176629,test
CID51181679,train
CID51189606,train
CID51190664,train
CID51194743,train
CID51198555,train
CID51210447,train
CID51215355,train
CID51221432,test
CID51230924,train
CID51250137,train
CID51255829,test
CID51263275,train
CID51272952,train
CID51275774,train
CID51278134,train
CID51287758,train
CID51294467,train
CID51316070,train
CID51328481,train
CID51331845,train
CID51356171,train
CID51363087,train
CID51367387,train
CID51368691,test
CID51369983,test
CID51407667,train
CID51411166,train
CID51422424,train
CID51446238,train
CID51449579,train
CID51466643,train
CID51482848,test
CID51494054,test
CID51497551,train
CID51498740,test
CID51504232,train
CID51514282,train
CID51516369,train
CID51535331,test
CID51544181,train
CID51556162,train
CID51568994,train
CID51570826,train
CID51590228,train
CID51628821,train
CID51630863,train
CID51667791,test
CID51668082,test
CID51672367,train
CID51675974,train
CID51713881,test
CID51720582,train
CID51720979,train
CID51724279,train
CID51743169,train
CID51743783,train
CID51748699,train
CID51767428,train
CID51779693,test
CID51784806,train
CID51810804,train
CID51811139,train
CID51811875,test
CID51830399,train
CID51838549,train
CID51849073,test
CID51858130,train
CID51863968,train
CID51864284,test
CID51866243,train
CID51869070,train
CID51870311,test
CID51877839,train
CID51880055,test
CID51885059,train
CID51899815,train
CID51900690,train
CID51916175,train
CID51919925,test
CID51925683,train
CID51952133,train
CID51959558,train
CID51971333,test
CID51985459,train
CID51996996,train
CID52025947,train
CID52029633,train
CID52029991,train
CID52036665,test
CID52043242,train
CID52044432,train
CID52046470,test
CID52052258,train
CID52060565,train
CID52063453,train
CID52072852,train
CID52076871,train
CID52085478,train
CID52086896,train
CID52089533,train
CID52102256,train
CID52103148,train
CID52105291,train
CID52133207,test
CID52133851,train
CID52143928,train
CID52144377,train
CID52164788,train
CID52177897,train
CID52180856,train
CID52183734,train
CID52189081,test
CID52203262,train
CID52207143,train
CID52211124,train
CID52214466,test
CID52214467,test
CID52233751,train
CID52241439,train
CID52241633,train
CID52246885,train
CID52252270,train
CID52263189,train
CID52287181,train
CID52297657,train
CID52309695,test
CID52310783,test
CID52312604,train
CID52313937,train
CID52314885,train
CID52317779,test
CID52319457,test
CID52319874,train
CID52332723,train
CID52345854,train
CID52372245,train
CID52372436,train
CID52372646,train
CID52373250,train
CID52378908,train
CID52397139,train
CID52435394,train
CID52445680,train
CID52446936,test
CID52452578,test
CID52453998,test
CID52455099,train
CID52456290,train
CID52465673,train
CID52474168,train
CID52511894,train
CID52514174,train
CID52515361,test
CID52518153,train
CID52526935,train
CID52534259,train
CID52548587,test
CID52549449,train
CID52554871,train
CID52582775,train
CID52587055,train
CID52605998,train
CID52625294,train
CID52630930,train
CID52631762,train
CID52638794,train
CID52642854,train
CID52645461,train
CID52652268,train
CID52657295,test
CID52660543,train
CID52660936,train
CID52669381,train
CID52672683,train
CID52688638,train
CID52692177,test
CID52696587,train
CID52710874,train
CID52724162,test
CID52724590,train
CID52730440,train
CID52737464,train
CID52737752,train
CID52751156,train
CID52754871,train
CID52755625,train
CID52759931,test
CID52766549,train
CID52770224,train
CID52806598,train
CID52812978,test
CID52825345,train
CID52877157,train
CID52884578,train
CID52885571,train
CID52900161,test
CID52905051,train
CID52908981,train
CID52911574,train
CID52933852,train
CID52937077,train
CID52938452,test
CID52959227,train
CID52967440,train
CID52989354,test
CID53007628,train
CID53024422,test
CID53031714,train
CID53049075,train
CID53050237,train
CID53054174,train
CID53059172,train
CID53064574,train
CID53072633,train
CID53085460,train
CID53092352,train
CID53107199,test
CID53117286,train
CID53143158,train
CID53143262,test
CID53144093,train
CID53149326,train
CID53151340,train
CID53161592,train
CID53175779,train
CID53188873,train
CID53198033,train
CID53201271,test
CID53203567,train
CID53210096,train
CID53211152,test
CID53217969,train
CID53223250,train
CID53225329,train
CID53237875,train
CID53258166,test
CID53288746,train
CID53301683,train
CID53303782,test
CID53319198,train
CID53322155,train
CID53327854,train
CID53328614,test
CID53333432,test
CID53337832,train
CID53339626,train
CID53342297,test
CID53346961,train
CID53371787,train
CID53374652,train
CID53400598,test
CID53447455,train
CID53453871,train
CID53458091,train
CID53458393,test
CID53465140,test
CID53472355,train
CID53502156,train
CID53510370,train
CID53515730,train
CID53519085,train
CID53519447,train
CID53520335,train
CID53523486,train
CID53537389,train
CID53542975,train
CID53557864,test
CID53559890,train
CID53566149,train
CID53579974,train
CID53584274,train
CID53600096,train
CID53604779,train
CID53613399,train
CID53631234,train
CID53632523,train
CID53632732,train
CID53657175,test
CID53666972,train
CID53669532,train
CID53680384,test
CID53690582,train
CID53694929,train
CID53701455,train
CID53714967,train
CID53718951,train
CID53723928,train
CID53746799,train
CID53758353,train
CID53765267,test
CID53772478,train
CID53783986,test
CID53786493,train
CID53786624,train
CID53835161,train
CID53839252,train
CID53848774,train
CID53865286,train
CID53878446,train
CID53885736,train
CID53893340,test
CID53897788,train
CID53901260,train
CID53903296,train
CID53908255,train
CID53929179,train
CID53937032,train
CID53962384,train
CID53964195,train
CID53970698,train
CID53978660,train
CID53982137,train
CID53982592,train
CID53985962,train
CID53993044,train
CID54003425,train
CID54024193,train
CID54027247,train
CID54049588,train
CID54054698,train
CID54079153,train
CID54080233,train
CID54086994,train
CID54088025,train
CID54092072,train
CID54099624,train
CID54102539,test
CID54110426,train
CID54111755,train
CID54117225,train
CID54132748,train
CID54137984,train
CID54140290,train
CID54142549,train
CID54147931,train
CID54153594,train
CID54161827,train
CID54173343,train
CID54190188,train
CID54193391,train
CID54196049,test
CID54202885,train
CID54205152,train
CID54206593,train
CID54206642,train
CID54220860,test
CID54226805,train
CID54235629,test
CID54236412,train
CID54238347,train
CID54243890,train
CID54248868,train
CID54254885,test
CID54304828,train
CID54317933,train
CID54336549,train
CID54336949,train
CID54358657,train
CID54385198,train
CID54385834,test
CID54392761,train
CID54413237,test
CID54415077,test
CID54422856,train
CID54423684,train
CID54427153,train
CID54432826,train
CID54455388,train
CID54465914,train
CID54466656,train
CID54469385,train
CID54486572,train
CID54486670,train
CID54487555,train
CID54503050,train
CID54514534,train
CID54522951,train
CID54522982,test
CID54528759,train
CID54556832,train
CID54565454,train
CID54565640,train
CID54570494,train
CID54571879,test
CID54596990,train
CID54622593,train
CID54639743,train
CID54654365,train
CID54665488,train
CID54679355,train
CID54685482,test
CID54693857,train
CID54701947,train
CID54709995,train
CID54722442,train
CID54724234,train
CID54728192,train
CID54728866,train
CID54746177,train
CID54756694,train
CID54760197,train
CID54778034,train
CID54778225,train
CID54779733,train
CID54794486,train
CID54796263,train
CID54804183,train
CID54812459,train
CID54816267,test
CID54819684,train
CID54835955,train
CID54838343,train
CID54849596,train
CID54850771,train
CID54894963,train
CID54900641,train
CID54903099,train
CID54905148,train
CID54910493,test
CID54913674,train
CID54914496,train
CID54914544,train
CID54916966,train
CID54923264,test
CID54948298,train
CID54959880,train
CID54969157,train
CID54970777,train
CID55010198,train
CID55020835,train
CID55053253,test
CID55054440,train
CID55060029,train
CID55062591,test
CID55068190,train
CID55071962,train
CID55084184,train
CID55085672,test
CID55088440,test
CID55115481,train
CID55121883,train
CID55128058,train
CID55147977,train
CID55154245,test
CID55164141,train
CID55165382,train
CID55166361,test
CID55172268,test
CID55172512,train
CID55195858,train
CID55202267,test
CID55203458,test
CID55204758,train
CID55208487,train
CID55223061,train
CID55223778,train
CID55229361,train
CID55235666,train
CID55241080,train
CID55261939,train
CID55313391,train
CID55313880,test
CID55315509,train
CID55318645,train
CID55321464,train
CID55327698,train
CID55327867,train
