Complaint ID,Date Received,Banking Product,Issue ID,Complaint Description,State,ZIP,Bank Response
CID74728465,1/2/2023,Credit card or prepaid card,I_2292291,"RE : Purchase of Goods on XXXX ( from XXXX ) using Bank of ABC XXXX Card, and Non-Receipt of Goods-BOA wont file Dispute and Give me Credit This complaint is against Bank of ABC XXXX XXXX Card, for refusing to file a Dispute, on my behalf, for merchandise not delivered by a company called XXXX. 
Screen prints from my BOA account are attached, showing the charge of XX/XX/XXXX. 
Screen prints show there is no record in my Messages tab, that a Dispute had been filed. I called at least twice, and spoke to BOA agents, asking that a Dispute be filed. Yet when I try and click on the transaction myself, to file a Dispute, online to correct the problem, I am prevented from filing the Dispute, as I am told I would be filing a Duplicate Dispute. 

BACKGROUND TO COMPLAINT XXXX XXXX, I purchased 2 belts from a Pinterest Ad that popped up, and I used my master card to pay for them. Nothing was mentioned on the order blank, that these items came from XXXX ( which would cause a delay in delivery ), nor was there any mention of the items not being in stock. 
When I received confirmation of the order, it was noted that there would be a delay in delivery, from XXXX XXXX business days ). The confirmation email also had a tracking number. The tracking number was for some group apparently out of XXXX, and when I clicked on the tracking number, it did not give specifics, but appeared to be tracking something coming from some where.. 

I Contacted Seller by email XX/XX/XXXX, XXXX pm, received email from XXXX, for XXXX # XXXX, confirming order. Ant chged to my XXXX was {$32.00} USD I clicked on View your Order and was given the Shipper and Tracking number : Shipper : XXXX ; Tracking number : XXXX. When I clicked on the tracking number, it had not been sent yet. I looked up this XXXX  through XXXX, and found XXXX, XXXX XXXX XXXX XXXX, XXXX XXXX, CA XXXX. ( This address, according to USPS records and XXXX, is just a house/residence, in XXXX XXXX XXXX California ) ). 
This address is a rental propertyin XXXX XXXX??? 

It is interesting that on the confirmed order page sent me, it specifies the amount I paid, followed by USD when in fact the company has an office stateside in the United States. If they are a US firm, they shouldnt need to specdify the amount I paid was in US dollars, rtight? 

XX/XX/XXXX, XXXX XXXX, I received an email from XXXX, indicating my order is on the way. The first link is Track order with XXXX which is useless as it takes you to an APP page where yyou can get the XXXX  app downloaded. Since I did not want a XXXX app on my XXXX I did not dowm load that app. 

When I clicked the tracking link, It has the same company and tracking number. It also stated : You will get shipping and delivery updates by email and text. I have not received ANY emails or texts with order updates. Ihave had to go to past emails from XXXX, and click on the tracking number, to find out status. 
XXXX XXXX XXXX  I emailed the seller through their website, asking when it would arrive. 
XX/XX/XXXX at XXXX XXXX. Seller responded, to my email address, and I WAS THEN told, all orders take from XXXX to XXXX business days to arrive at destination. I was also given a link to the tracking number again. 
By the way, that is a way to escalate your stock sales, on the stock exchanges, at year end, by claiming sales are through the roof, when in fact you have no product to sell or ship, right????? 
XX/XX/XXXX, XXXX XXXX, I contacted seller again, complaining that the item now does not even show as TRACKABLE. I wanted to reverse my credit card charges. 

XX/XX/XXXX, XXXXXXXX XXXX, I get a return email, Telling me again, all orders take from XXXX XXXX business deays to arrive. Seller did not address my concerns that now, the link does not show the item going anywhere, link does not indicate city it is in, city it is going to, or when it is expected arrival date is. Iwas told it was already in transit, and should be arriving in that time frame. 
XXXX XXXX XXXX if the item exists, and has been sent, the item apparently is stuck somewhere, or perhaps not even sent. I have not received the item. Bank of ABC has NOT filed a Dispute for me, as I asked, AND I am prevented from filing a dispute myself online, because it tells me it is a Duplicate Dispute. 
When contacted by email, the seller will not answer any direct questions, like, in what city is it now, what date should I be expecting it. 
On XX/XX/XXXX, on finding out delivery date was so far out. I asked to cancel the item by email. My request to cancel the order was ignored, and instead I was sent another email, and told I could track it by clicking on the link in the email. 

When I realized the seller had no intention of cancelling the order as I had requested, in my email, I contacted Bank of ABC XXXX XXXX, art their XXXX number. I explained the above, and asked that they file a dispute for the item, which was now on my credit card statement online. 
The fellow at the BOA XXXX XXXX number sounded like he was taking down all the relevant information I gave him. And said he filed a Dispute for me. 

Shortly thereafter, I received an email. I went online in my BOA XXXX account, to see the messages center referred to, in the email. By the sounds of the email, it sounded like the BOA agent HAD NOT filed the Dispute against XXXX but expected me to do that, by going into my account. In my messages account online there was NO email or communication whatsoever, on the Dispute I thought he had filed forme, Against the XXXX charge. 
On DATE, I called BOA, spoke to, and asked the status of the Dispute. I was told it could take XXXX to XXXX hours fore that to show up. And that I would receive notification BOTH in writing, by USPS XXXX, and by a Message in my account. 
On XX/XX/XXXX,, I contacted Bank of ABC again, and gave all details regarding this transaction to file a dispute : The tracking number XXXX, transaction date XX/XX/XXXX, Reference Number XXXX, told them it had been ordered XX days ago ( {$32.00} ) and the item was charged to my account on that date yet I had not received any merchandise, and little satisfaction emailing them. I was told that they put the Dispute in then. 

XX/XX/XXXX, at XXXX am, I called BOA again, and spoke to a person who called herself XXXX and explained that I had on the phone filed a Dispute, XX/XX/XXXX, yet had received no confirmation, etc that it was filed. XXXX said it was XXXX # XXXX XXXX XXXX. That is great -- - but that CHARGE is still on my BOA statement, and it appears I will have to pay for it in XXXX, unless BOA puts it in pending status. Further, I STILL have nothing in writing about the Dispute being officially filed, the case, or a credit, or anything. This speaks to poor procedure following on Bank of ABCs part. When people call in to file the Dispute, it should be recorded in their account, visibly, so the card holder can see what is going on. 
At this point, Sunday, XX/XX/XXXX, there is STILL NO notification of a Dipute filed against this Crovable who sold me the belts, immediately charged it to my credit card, yet has not yet delivered, Furthermore, there is no USPS letter, from BOA XXXXXXXX XXXX that I have received, stating the XXXX  issue is even in process. Nor is there any message on a XXXX Dispute in my Bank of ABC Online Message Center. 
Thus, since I have noo proof in writing that a Dispute has been filed against XXXX, as far as I am concerned, BOA never filed the Dispute.",New York,14564,Closed with monetary relief
CID65522280,1/2/2023,Checking or savings account,I_3648593,"BoA makes it VERY difficult to make a reg E claim. Criminal!! Im a bank expert and know it shouldnt be this hard. 
They sent me an email, likely fraudulent transaction. It was. So go to mobile banking, low tran business acct. Clearly fraud. 
Tried to dispute via mobile. 
Had to go to internet banking. 
Enter last 6 DC - done Enter TIN - done Then 6 digit code via text - done Then new passcode - done And repeat. And repeat. Stuck in a loop. 
Had to call. Extended hold time. Turns out internet banking uses debit card and since debit card has a hold, you can not dispute on internet banking. 
Frustratingly on hold, message keeps saying you could dispute on mobile or internet banking. Infuriating. 
After 32 minutes hold- spend XX minutes on a call to dispute an obviously fraudulent set of transactions ; a process that should be done via text or in mobile banking in a minute. 
Seems to me that BofA makes it confusing and difficult on purpose.",Florida,33572,Closed with explanation
CID91696272,1/2/2023,Checking or savings account,I_5781460,Bank of ABC needs to let me resolve the fees on my account,Texas,79902,Closed with explanation
CID77717223,1/2/2023,Checking or savings account,I_2611782,"On XX/XX/XXXX I noticed 2 charges from XXXX XXXX XXXX that I did not make with my Bank of ABC debit card so I opened up a claim with the bank and I was told it would take 45 days to resolve the claim, on XX/XX/XXXX I got a notice in my email that says the claim was denied A crime has been committed against me and my identity, I don't know who the culprit is, I tried to file a police report on the XXXX of XXXX but the police department was not interested in what I had to say and refused to take a report and after I found out on XX/XX/XXXX that the bank denied the claim, I made one more attempt to call the police and I spoke with XXXX XXXX XXXX at the XXXX XXXX Police non emergency and he took the report and gave me a claim number ; the bank did refund the {$XX0.00} to my account but promises to take it back on XX/XX/XXXX they say XXXX says I ordered a guitar and other equipment and had it mailed to my home ; I did not do this and I want Bank of ABC to leave the money in my account I am upset, when I call the bank I cant get and direct answers",Maryland,20904,Closed with monetary relief
CID80217363,1/2/2023,Credit card or prepaid card,I_6355741,"To CFPB, Bank of ABC closed my account and refuses to open it, even though I have complied with all of their demands. 
I do not have an ID issue with XXXX. There is no reason for them to keep my funds from me. I fought them on going to the bank with 2 forms of ID because of COVID-XX. I have underlying health problems and I have not gone anywhere since the beginning of this whole COVID mess. They said the only way around that would be to have XXXX send a USID form. So I called XXXX and on at least 5 occasions, representatives I spoke to in the ID Department told me they would send that with me still on the phone and it would be instantly available for Bank of ABC to see and immediately open my account. Bofa denies every receiving any communication from XXXX. 
But I finally went to the bank, because I need money to pay my rent, and not die, so I went to the bank. At the first bank, I spoke to the branch manager that told me they could not verify me as I did not have an account with them, he said they did not verify prepaid customers and to call the number on the back of the card to get verified by phone. I thought that that couldnt be right because they had told me on the phone to go to any branch and they would verify me. So I drove to a different Bofa thinking the branch manager was just misinformed or was just being a jerk, and at the second bank, the manager I spoke to said the same thing. Totally furious, I went home and swore off dealing with Bank of ABC ever again, on principle. 
But I received an eviction notice today. Fortunately, my brother is sending me money to pay my rent. But he is barely in a better financial situation than I am. I need to repay him as soon as possible so he can pay his rent. 
If Bofa would reopen my account that they closed with no notice or explanation, I wouldnt be having any of these problems. I called Bank of ABC today and told them I went to the bank with 2 forms of ID and I was told they could not verify me because I dont have an account there. The representative I spoke with on the phone told me he would file a complaint, that the branch manager was misinformed, and to go to the bank with 2 forms of ID. I told him they would just tell me the same thing, and when I call, Bofa tells me to go to the bank. 
Hopefully you see my frustration and understand I have tried every way repeatedly, and the bank wont open my account. I dont know what else to do this has been going on for months. Please help me. 
Thank you for your attention to this matter, XXXX XXXX",California,91401,Closed with explanation
CID74701059,1/3/2023,Credit card or prepaid card,I_2292291,"I am writing to contest the finding that XXXX fraudulent charges on my Bank of ABC MasterCard were in fact authorized charges. They were not. I did not authorize or receive anything for these XXXX charges, nor do I recognize the seller name. A XXXX search suggests that "" XXXX '' means "" Russian Gold '' ... which given the number of hackers and scams from XXXX towards the XXXX is rather suspicious. I definitely did not make foreign charges in that amount and would remember if I did. Further, the only other member of my household who could conceivably use the card -- my husband -- did not. I never contacted BoA in any way to later say the charges were correct, and if someone did, that was part of the fraud. 

The XXXX charges were on XX/XX/XXXX, and there were XXXX foreign transaction fees associated : "" XXXX XXXX '' {$230.00}, {$7.00} fee "" XXXX XXXX '' {$230.00}, {$7.00} fee Total : {$480.00} I have also been charged late fees by BoA for refusing to pay for these charges, which are the sole balance on this card. 

The denial notice said that BoA 's fraud department has determined that the purchases were made from my device. If so, my device was hacked or someone found a way to make it seem as if they were using my device. 

I have reason to believe that it is the latter. During the week of these fraudulent transactions, I received XXXX phone calls that I thought were valid Bank of ABC calls. My caller ID identified the calls with a checkmark and "" Bank of ABC. '' Further, the phone number matched the one on the back of my card. Adding to the confusion was the fact that I'd recently had a genuine call from Bank of ABC ( verified through the banking app ) that was very similar. 

Each call was from a man who identified himself as from the Bank of ABC XXXX department. The speaker spoke in a professional manner and his script was very similar to the legitimate calls I'd recently had. 

In the first call, the speaker said that someone had attempted to change my mailing address within the Bank of ABC app. I said it was not me. It was a brief call and I suppose it was a way of building trust/legitimacy. I did confirm my mailing address ( it was read to me ), and I was never asked for my bank account number. 

The second and third calls likely completed the fraud. I was told that an attempt had been made to access my account. I was then instructed to read a verification number that was texted to my phone in order to start a claim. I did read that number out loud as it flashed across my screen. I suspect that this allowed the person to use my information on their device. The third call was very brief ; I was asked to repeat that number. 

Directly after this call, I was concerned and changed my Bank of ABC password and my XXXX ID password. I then saw the XXXX fraudulent charges and believed them to be the ones I had been called about. I called the number on the back of my card and filed the claim. 

I now have reason to believe, given the circumstances, that the XXXX calls I received were fraudulent. They were sophisticated and since I was not asked for my banking information I didn't have red flags come up. It seemed legitimate at the time. I sent records of these received calls to Bank of ABC with my claim, asking them to check on their end to see whether or not anyone from Bank of ABC actually called me. They did not respond to this question and denied my claim, stating that I had later contacted them to say that the charges were legitimate. I did no such thing and XXXX it was likely additional fraud by whoever perpetrated this scam. 

I feel foolish for not catching on to the scheme, but it was convincing. I request that this information be fully considered and I not be held liable for these XXXX charges or any associated fees. I have been a Bank of ABC customer for over XXXX years and have never filed a false claim. To be blunt, these transactions shouldn't even pass the straight-face test as legitimate, and it is insulting to be treated such a way by an institution I've entrusted my accounts with.",Ohio,44138,Closed with monetary relief
CID53520335,1/3/2023,Checking or savings account,I_6431567,I am not able to open up a bank account due to someone using my information for fraud.,New Jersey,7087,Closed with explanation
CID93478530,1/3/2023,Credit card or prepaid card,I_9017186,"Total amount I disputed- approx XXXX $ Date ranges XXXX XXXX Bank of ABCs Edd prepaid card services. I inquired with a representative over the phone if I could still file a claim that took place the previous year. The representative said yes and I was eligible to file a claim and submit it for review, I had already previously filed a claim but only one out of the multiple charges was approved at the time I filed it. Anticipating the results I was informed by Bank of ABC via written notice the 365 day federal regulation prevented them from completing the claim and its being denied. Why would the representative not have access to that information? I was relayed information that it would be investigated accordingly and it was still able to be processed",California,91326,Closed with explanation
CID94156132,1/3/2023,Credit card or prepaid card,I_2292291,"Or or about XX/XX/XX22, I was alerted by Bank of ABC that it flagged several charges as potentially fraudulent. I immediately responded that the flagged charges were indeed fraudulent. The charges in dispure are : XX/XX/XX22 {$10.00} XXXX  XXXX XXXX XXXX CA XX/XX/XX22 {$100.00} XXXX  XXXX XXXX XXXX CA XX/XX/XX22 {$22.00} XXXX  XXXX XXXX XXXX CA XX/XX/XX22 {$88.00} XXXX XXXX XXXX CA Bank of ABC refused to reverse the charges. 

I have written to Bank of ABC on three occassions advising that neither I nor anyone authorized by me used my credit card in XXXX CA on or about XX/XX/XX22. Indeed I was in XXXX, ID on that date. 

I have filed a police report with XXXX XXXX Sheriff Department. 

Notwithstanding my assertion that the charges are fraudulent, Bank of ABC ( by form letter ) replies : "" we confirmed your card was used for the charge ( s ). The chip was read, your PIN was entered, and/or you signed for the merchandise or service, which indicates you or someone you allowed to use your card was present. 

Bank of ABC in in error.The charges in question were not incurred by me or anyone authorized by me. Demand is hereby made that Bank of ABC reverse the charges.",California,94070,Closed with monetary relief
CID94151296,1/3/2023,"Credit reporting, credit repair services, or other personal consumer reports",I_7782152,"We have been with Bank of ABC mortgage for XX or more years and have never been late with a house payment.In XXXX of XXXX my husband passed away and I lost all income except Social Security.In XXXX of XXXX i applied for a modification loan with Bank of ABC.They had me make three trial payments of {$650.00} on XXXX, XXXX and XXXX which was {$100.00} less than the normal payment and told me several times and even had it in the paper work that I could not make anything but that amount.I called them several times to ask about the payments that I was still receiving with the old amount and they assured me that it would all fall into place after the three months were up.After the new loan amount went thru they put 3 late payments on my credit report for XXXX, XXXX and XXXX which has affected my credit report very much.I have disputed it thru XXXX and XXXX with no results and was told by a manger with Bank of ABC that they were not changing it.Of course this is effecting me trying to find cheaper insurance or anything else.I really need some help with this.",Oklahoma,73099,Closed with explanation
CID62519898,1/3/2023,Credit card or prepaid card,I_9017186,On XX/XX/XX23 I went to pump gas and my card decline so when i went inside the gas station the gentleman was able to run it for 10 dollars. I went to the store next to gas station to purchase a item and my card was decline. I called bank of ABC to see what was going on and the lady i spoke to said my card was freeze. she went ahead and unfroze the card not realizing that someone in XXXX XXXX  had just run a transaction to see my balance. So later that night I tried to make a purchase and was declined. They took {$880.00} and I have bills to pay tomorrow and they said I have to wait into the XXXX. I made a police report and also I'm going tomorrow to the bank where they made that transaction to see the cameras. thanks for your help,California,92346,Closed with monetary relief
CID51748699,1/3/2023,Checking or savings account,I_2611782,"I purchased XXXX life insurance policy from an insurance agent. I end up receiving XXXX separate insurance policies in the mail. When I call the guy and explain he has no interest in helping me. So I contact XXXX XXXX, which is the policy I did not authorize. They do not want to refund my money either. So I contact my bank, Bank of ABC and explain the situation to them. They send me a letter showing me a document from XXXX XXXX that has my name typed on a line that they are claiming is my signature, which it is not. I find it hard to believe that a bank can not see that my signature was printed and not signed by me. XXXX XXXX took XXXX payments of {$78.00} from my checking account at Bank of ABC. I did not request this life insurance policy from XXXX XXXX. They had no right or authorization to take money from my account. I would like a refund.",Illinois,60656,Closed with explanation
CID81053024,1/3/2023,Credit card or prepaid card,I_2292291,"On XX/XX/XXXX a charge for XXXX and a charge for a spa was on my credit card with Bank of ABC. I contacted Bank of ABC to dispute the fraudulent charge, however I would like for you to look further into this as I have been a recent victim of fraud.",New Jersey,7740,Closed with non-monetary relief
CID57222235,1/3/2023,Checking or savings account,I_3648593,"( 1 ) opened 1 safety box on XXXX, box number # XXXX, {$51.00} service fee to be waived for premier customer ( 2 ) had problem with the keys, closed # XXXX and opened a new box with box # XXXX on XX/XX/XXXX ( 3 ) I have everything auto pay and accounts linked as premier customer and believed 1 safety box I had should be free of charge from the waiver ( 4 ) but while talking to customer service, they found that there were 4 charges on my account XXXX : {$51.00} XXXX : {$51.00} XXXX : {$51.00} XX/XX/XXXX : {$51.00} ( 5 ) also they found that the safety box # XXXX was still assigned for me and not closed properly causing those fees Bank of ABC made error by charging me for the safety box I no longer have ( 6 ) asked them to refund overcharged 4 of {$51.00}, {$XX0.00} but the lady said I have to visit branch and explain and ask to see if they can do something I made many phone calls for long time already and bank of ABC is being negligent and irresponsible again over their old negligence I want my {$51.00} X 4, {$XX0.00} back Person I spoke : XXXX at customer service XXXX at Safety box department in XXXX XXXX Person who refused to help further and sending me back to the branch : XXXX XXXX XXXX Officer & Proficiency Coach Complaint # : XXXX",California,91381,Closed with monetary relief
CID78087765,1/3/2023,Credit card or prepaid card,I_6355741,BANK OF ABC HAS CLOSED MY ACCOUNT BECAUSE THEY NO LONGER WORK WITH XXXX BUT XXXX CLEARLY STATED THAT WE WOULD BE ABLE TO USE THE CARD UNTIL XX/XX/XX23 IM UPSET BANK OF ABC LIED AND TRIED TO SAY XXXX CLOSED MY ACCOUNT BUT A REP FROM BANK OF ABC CLEAR AS DAXXXX STATED THAT IT WAS BANK OF ABC NOW THIS BANK WANTS ME TO REVERIFY MYSELF THROUGH XXXX XXXX IS STATED THAT I SHOULD BE ABLE TO WALK INTO A BRANCH TO RECEIVE MY FUNDS FROM THIIS BANK BUT BANK OF ABC IS SAYING THEY CANT DO ANYTHING UNTIL I VERIFIY MYSELF MY BALANCE IS STILL THERE IN THE ACCOUNT I BELIEVE XXXX AND THE REP FROM THE BANK THAT BANK OF ABC CLOSED THE ACCOUNT WITHOUT WARNING AND I DEMAND IT TO BE REOPENED NOW I NEED MY FUNDS NOW YOU HAD NO RIGHT TO FORCE CLOSE ANYTHING MY FUNDS ARE IN THERE AND I HAVE CLAIKS STILL,Michigan,48207,Closed with monetary relief
CID59078685,1/3/2023,Credit card or prepaid card,I_7000941,"The auto sys is unbearable. The XXXX dont do anything & put you back into the sys. They take personal info over & over but no results. Card is lost. No way to close. They have a fidutiary responsibility. I would have just requested new card but based upon how bad the service is, should there be an emergency i wouldnt trust trust them & i want it closed.",California,92128,Closed with non-monetary relief
CID53993044,1/3/2023,"Credit reporting, credit repair services, or other personal consumer reports",I_3798538,I filled a dispute in regards to the incorrect items on my credit report. It has been well over 30 days and I have not received any investigation results.,New York,10031,Closed with explanation
CID85127391,1/3/2023,Checking or savings account,I_3648593,"On XXXX XXXX I had got a message on XXXX from a friend that I know and trusted asking if I wanted to make some extra cash? I said yeah I am, and I did not know his Instagram account was hacked and it was the scammer that was contacting me with his account. Told me he did an investment with this guy on XXXX, gave me his name and to message him and told me that this guy will explain it all. I fell for it because I thought my friend was messaging me and knew my friend would not lie about something like that. I got in contact with the person that was saying he was investing with binary trading. Told me he could flip the cash into more and I would just pay him a percentage out of it. I even talked to him over the phone on XXXX, I sent {$1000.00} through XXXX and waited, then there was nothing deposited yet, he then messaged me saying a XXXX irs fee that will be refunded, and I told him I didnt have that much that I only had {$400.00}. He told me to send the {$400.00} and XXXX help with the other {$300.00} since Im a first time customer. But I sent the {$400.00} to a different name and a different XXXX  account. And he kept telling me to wait a sec and I was waiting. He then told me to go to my settings and to change my email address and I did not know what I was doing and he got into my XXXX account and logged me out and I tried to get back in and he had already changed my password and phone number and email address that was associated with my XXXX account. I can no longer get into my XXXX account, and the scammer is now using my account to message my friends on XXXX and trying to scam them as well. As soon as I was logged out of my account I knew I was scammed and I immediately contacted my bank and told them what had happened and they filed a claim for me and today XXXX XXXX I called the bank to check on the status of the claim and told me that my claim was closed due to me making an authorized payment through XXXX. I asked my bank what I would need to do now but told me there was nothing I could do that my claim was closed and that I was not gon na get my money back.",New Mexico,87311,Closed with explanation
CID93674140,1/3/2023,Checking or savings account,I_3648593,"On or about XX/XX/XX22 I deposited around {$6XX.00} at my Bank of ABC ( see address below ). The ATM accepted and showed the deposit amount onscreen. I deposited {$2300.00} after that, I did 2 deposits since I had a lot of cash. I looked at my statement online the next day to confirm both transactions and the {$2300.00} amount was present but the {$6XX.00} wasn't. I called and talked with an associate to open an investigation, the investigation results came back a few weeks later in favor of the bank, I spoke to banking manager XXXX XXXX at the XXXX XXXX XXXX XXXX XXXX XXXX, NV XXXX branch, she took my case with enthusiasm and I was hopeful and then in early XXXX that investigation came back with no evidence of my deposit. I am certain I made the deposit and unfortunately the same thing happened a month later in the amount of {$400.00} that was thankfully returned to me, but as for the {$6XX.00}, they said they checked the machine and the cameras and have no evidence to go by save for heresay, I failed to grab a receipt or take a picture, I didn't have the presence of mind that something like this could happen, but after several investigations they refused to give me back the {$6XX.00}. I have written to the CEO of BofA twice and each time XXXX from XXXX XXXX replies and leaves a number that which when I call, there is no such person at that number.",Nevada,89128,Closed with monetary relief
